title,release_date,genre,runtime,language
Sentinelle,2021-03-05,Action,80,French
Yes Day,2021-03-12,Comedy,89,English
Paper Lives,2021-03-12,Drama,97,Turkish
Get the Goat,2021-03-18,Comedy,98,Portuguese
Caught by a Wave,2021-03-25,Romantic teen drama,99,Italian
A Week Away,2021-03-26,Christian musical,97,English
Bad Trip,2021-03-26,Hidden-camera prank comedy,86,English
Pagglait,2021-03-26,Comedy drama,114,Hindi
Tersanjung the Movie,2021-04-01,Drama,114,Indonesian
Concrete Cowboy,2021-04-02,Drama,111,English
Just Say Yes,2021-04-02,Romantic comedy,97,Dutch
Madame Claude,2021-04-02,Drama,112,French
Have You Ever Seen Fireflies?,2021-04-09,Comedy,114,Turkish
Night in Paradise,2021-04-09,Drama,132,Korean
Thunder Force,2021-04-09,Superhero comedy,107,English
Prime Time,2021-04-14,Thriller,92,Polish
Ride or Die,2021-04-15,Psychological thriller drama,142,Japanese
Ajeeb Daastaans,2021-04-16,Drama,142,Hindi
Get the Grift,2021-04-28,Comedy,95,Portuguese
Things Heard & Seen,2021-04-29,Horror,121,English
The Disciple,2021-04-30,Drama,128,Marathi
Milestone,2021-05-07,Drama,97,Hindi
Monster,2021-05-07,Drama,99,English
Oxygen,2021-05-12,Science fiction thriller,101,French
Ferry,2021-05-14,Crime drama,107,Dutch
I Am All Girls,2021-05-14,Thriller,107,English
The Woman in the Window,2021-05-14,Psychological thriller,101,English
Sardar Ka Grandson,2021-05-18,Comedy,139,Hindi
Army of the Dead,2021-05-21,Zombie/heist,148,English
Baggio: The Divine Ponytail,2021-05-26,Biopic,92,Italian
Ghost Lab,2021-05-26,Horror,117,Thai
Blue Miracle,2021-05-27,Drama,96,English
Carnaval,2021-06-02,Comedy,95,Portuguese
Dancing Queens,2021-06-03,Drama,111,Swedish
Sweet & Sour,2021-06-04,Romantic drama,102,Korean
Trippin' with the Kandasamys,2021-06-04,Comedy,93,English
Xtreme,2021-06-04,Action,112,Spanish
Awake,2021-06-09,Science fiction thriller,97,English
Tragic Jungle,2021-06-09,Drama,96,Spanish
Skater Girl,2021-06-11,Coming-of-age sports drama,109,Hindi
Ali & Ratu Ratu Queens,2021-06-17,Comedy drama,100,Indonesian
Jagame Thandhiram,2021-06-18,Action thriller,158,Tamil
Good on Paper,2021-06-23,Comedy,94,English
America: The Motion Picture,2021-06-30,Animation / comedy / historical fiction,98,English
Fear Street Part 1: 1994,2021-07-02,Teen horror / slasher,107,English
The 8th Night,2021-07-02,Thriller film,115,Korean
Haseen Dillruba,2021-07-02,Romantic thriller,135,Hindi
Fear Street Part 2: 1978,2021-07-09,Teen horror / slasher,110,English
Last Summer,2021-07-09,Romantic drama,101,Turkish
A Classic Horror Story,2021-07-14,Horror,95,Italian
A Perfect Fit,2021-07-15,Romantic comedy / drama,112,Indonesian
My Amanda,2021-07-15,Romance,89,Filipino
Deep,2021-07-16,Science fiction,101,Thai
Fear Street Part 3: 1666,2021-07-16,Supernatural horror,114,English
Blood Red Sky,2021-07-23,Thriller,123,German
Bankrolled,2021-07-23,Comedy,97,Spanish
Bartkowiak,2021-07-28,Action,91,Polish
Resort to Love,2021-07-29,Romantic comedy,101,English
The Last Mercenary,2021-07-30,Action comedy,112,French
The Kissing Booth 3,2021-08-11,Comedy drama,113,English
Beckett,2021-08-13,Action thriller,110,English
Black Island,2021-08-18,Thriller,104,German
The Secret Diary of an Exchange Student,2021-08-18,Romantic comedy,96,Portuguese
Sweet Girl,2021-08-20,Action,110,English
The Loud House Movie,2021-08-20,Animation/comedy,87,English
The Witcher: Nightmare of the Wolf,2021-08-23,Animated dark fantasy,83,English
He's All That,2021-08-27,Teen romantic comedy,91,English
Afterlife of the Party,2021-09-02,Comedy,109,English
JJ+E,2021-09-08,Romance,91,Swedish
Kate,2021-09-10,Action thriller,106,English
Prey,2021-09-10,Thriller,87,German
Nightbooks,2021-09-15,Fantasy/horror,100,English
Ankahi Kahaniya,2021-09-17,Anthology film,110,Hindi
Confessions of an Invisible Girl,2021-09-22,Drama,91,Portuguese
Intrusion,2021-09-22,Thriller,93,English
The Starling,2021-09-24,Comedy drama,104,English
Friendzone,2021-09-29,Romantic comedy,88,French
No One Gets Out Alive,2021-09-29,Horror,85,English
Sounds Like Love,2021-09-29,Romantic comedy,110,Spanish
Diana: The Musical,2021-10-01,Musical,117,English
Forever Rich,2021-10-01,Thriller,90,Dutch
Swallow,2021-10-01,Drama,128,English
The Guilty,2021-10-01,Thriller,91,English
There's Someone Inside Your House,2021-10-06,Slasher,96,English
Grudge,2021-10-08,Thriller,106,Turkish
"My Brother, My Sister",2021-10-08,Drama,110,Italian
Bright: Samurai Soul,2021-10-12,Anime/fantasy,80,Japanese
Fever Dream,2021-10-13,Drama,93,Spanish
Operation Hyacinth,2021-10-13,Drama,112,Polish
A World Without,2021-10-14,Science fiction / teen drama,107,Indonesian
The Four of Us,2021-10-15,Comedy,88,German
Night Teeth,2021-10-20,Thriller,108,English
Stuck Together,2021-10-20,Comedy,126,French
Little Big Mouth,2021-10-22,Romantic comedy,94,English
Hypnotic,2021-10-27,Thriller,89,English
Nobody Sleeps in the Woods Tonight Part 2,2021-10-27,Horror,97,Polish
Army of Thieves,2021-10-29,Romantic comedy / heist,129,English
The Harder They Fall,2021-11-03,Western,139,English
Love Hard,2021-11-05,Romantic comedy,106,English
Meenakshi Sundareshwar,2021-11-05,Romantic comedy,141,Hindi
We Couldn't Become Adults,2021-11-05,Drama,124,Japanese
Yara,2021-11-05,Drama,96,Italian
Father Christmas Is Back,2021-11-07,Comedy,105,English
Happiness Ever After,2021-11-10,Romantic drama,99,English
Passing,2021-11-10,Drama,99,English
7 Prisoners,2021-11-11,Drama,94,Portuguese
Red Notice,2021-11-12,Action comedy,117,English
Just Short of Perfect,2021-11-18,Romantic comedy,94,Portuguese
The Princess Switch 3: Romancing the Star,2021-11-18,Romantic comedy,106,English
Dhamaka,2021-11-19,Action thriller,104,Hindi
Love Me Instead,2021-11-19,Drama,124,Turkish
"Tick, Tick... Boom!",2021-11-19,Musical,115,English
Bruised,2021-11-24,Drama,132,English
A Castle for Christmas,2021-11-26,Romantic comedy,99,English
The Power of the Dog,2021-12-01,Drama,128,English
Single All the Way,2021-12-02,Holiday romantic comedy,101,English
The Whole Truth,2021-12-02,Horror,125,Thai
Mixtape,2021-12-03,Coming-of-age comedy-drama,97,English
David and the Elves,2021-12-06,Fantasy,106,Polish
The Claus Family 2,2021-12-07,Fantasy,97,Dutch
Asakusa Kid,2021-12-09,Drama,123,Japanese
Anonymously Yours,2021-12-10,Romantic comedy,101,Spanish
Back to the Outback,2021-12-10,Animation,95,English
The Unforgivable,2021-12-10,Drama,114,English
The Hand of God,2021-12-15,Drama,130,Italian
A California Christmas: City Lights,2021-12-16,Romantic comedy,90,English
A Naija Christmas,2021-12-16,Romantic comedy,121,English
Grumpy Christmas,2021-12-21,Comedy,87,Spanish
1000 Miles from Christmas,2021-12-24,Christmas film,102,Spanish
Don't Look Up,2021-12-24,Science fiction comedy,138,English
Minnal Murali,2021-12-24,Superhero,159,Malayalam
Lulli,2021-12-26,Comedy,90,Portuguese
Four to Dinner,2022-01-05,Romantic comedy,90,Italian
The Wasteland,2022-01-06,Horror,92,Spanish
How I Fell in Love with a Gangster,2022-01-12,Drama,179,Polish
Brazen,2022-01-13,Romantic thriller,96,English
Photocopier,2022-01-13,Coming-of-age drama,130,Indonesian
This Is Not a Comedy,2022-01-14,Comedy drama,105,Spanish
The Royal Treatment,2022-01-20,Romance,97,English
Amandla,2022-01-21,Drama,106,English
Munich – The Edge of War,2022-01-21,Historical drama / thriller,131,English
My Father's Violin,2022-01-21,Drama,112,Turkish
Home Team,2022-01-28,Sports comedy,97,English
Looop Lapeta,2022-02-04,Romantic thriller,131,Hindi
Through My Window,2022-02-04,Drama,113,Spanish
The Privilege,2022-02-09,Horror,107,German
Into the Wind,2022-02-10,Romantic drama,108,Polish
Bigbug,2022-02-11,Science fiction comedy,111,French
Love and Leashes,2022-02-11,Romantic comedy,118,Korean
Love Tactics,2022-02-11,Romantic comedy,98,Turkish
Tall Girl 2,2022-02-11,Teen romantic comedy,101,English
Fistful of Vengeance,2022-02-17,Supernatural martial arts drama,96,English
Texas Chainsaw Massacre,2022-02-18,Slasher,83,English
Rabbids Invasion: Mission to Mars,2022-02-18,Animation / Comedy,70,English
UFO,2022-02-23,Drama,110,Turkish
A Madea Homecoming,2022-02-25,Comedy,107,English
Restless,2022-02-25,Action thriller,96,French
Against the Ice,2022-03-02,Survival,103,English
The Weekend Away,2022-03-03,Thriller,91,English
The Invisible Thread,2022-03-04,Comedy drama,90,Italian
The Adam Project,2022-03-11,Science fiction,106,English
Rescued by Ruby,2022-03-17,Drama,93,English
Black Crab,2022-03-18,Thriller,114,Swedish
Without Saying Goodbye,2022-03-18,Romantic comedy,96,Spanish
Windfall,2022-03-18,Thriller,92,English
In Good Hands,2022-03-21,Romantic comedy,104,Turkish
